2020-Sep-17 19:13:53 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - Test Suite started!
2020-Sep-17 19:13:54 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:13:54 PM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Sep-17 19:14:03 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:14:03 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:14:03 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - LoginFacebook_Verify_FirstName_LastName_Logout started!
2020-Sep-17 19:14:05 PM [main] INFO  com.qa.interestsmart.pages.SignInPage - Clicked on Sign In button
2020-Sep-17 19:14:05 PM [main] INFO  com.qa.interestsmart.pages.SignInPage - Clicked on "Sign in with Facebook" button
2020-Sep-17 19:14:15 PM [main] INFO  com.qa.interestsmart.pages.SignInPage - 1. User First Name after login is Tejas
2020-Sep-17 19:14:15 PM [main] INFO  com.qa.interestsmart.pages.SignInPage - 2. User Last Name after login is Ghad
2020-Sep-17 19:14:16 PM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Sep-17 19:14:16 PM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Sep-17 19:14:18 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - LoginFacebook_Verify_FirstName_LastName_Logout passed!
2020-Sep-17 19:14:19 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:14:19 PM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Sep-17 19:14:27 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:14:27 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:14:27 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - Login_ValidEmail_ValidPassword started!
2020-Sep-17 19:14:29 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Sep-17 19:14:29 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Sep-17 19:14:29 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 123456
2020-Sep-17 19:14:31 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and valid password clicked on Sign In button on Signin page
